קטגוריה,שם הזכות,תיאור הזכות,מקור,מעניק הזכות,איש קשר,זכאות,תנאים,חוקה,משוואה,תהליך מימוש,מידע נוסף,תנאים במבנה חדש
הטבות כלכליות,מענק חודשי לחיילים בודדים,מענק קבוע בגובה 100% משכר יסוד של טוראי בנוסף לשכר החובה.,כל זכות,"צה""ל",,כל מי שהוגדר חייל בודד,בשירות חובה,שווה,,הזכאות ניתנת אוטומטית למי שמוכר כחייל בודד.,,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
הטבות כלכליות,מענק מטעם משרד העלייה והקליטה לחייל בודד או מתנדב בודד בשירות לאומי-אזרחי,"מענק ייחודי לעולים חדשים, כולל יוצאי אתיופיה או מתנדבי שירות לאומי.",,משרד העלייה והקליטה,,חייל בודד מובהק,אם לא עלה מאתיופיה: עד 5 שנים לעלייה.###אם עלה מאתיופיה: עד 10 שנים לעלייה.,קטן שווה,בשירות חובה,יש להגיש מסמכים לאחת מלשכות השירות או להגיש בקשה חריגה.,,"[{""aliyah"": {""monthsSinceAliyah"": {""lte"": 60}}, ""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""DISTINGUISHED_LONE_SOLDIER""}}, {""aliyah"": {""originCountry"": ""Ethiopia"", ""monthsSinceAliyah"": {""lte"": 120}}, ""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""DISTINGUISHED_LONE_SOLDIER""}}]"
הטבות כלכליות,מענק כספי חד פעמי לעולים ותושבים חוזרים (נזקקים),הזכות מוקפאת כרגע בשל חוסר תקציב.,,משרד העלייה והקליטה,,עולה נזקק,,,,,,[]
הטבות כלכליות,מענקי מזון לחיילים בודדים,"150 ₪ לרכישת מזון לחיילים בודדים ברמ""פ א׳ ומעלה. חל איסור לרכוש טבק ואלכוהול.",,"צה""ל",,כל מי שהוגדר חייל בודד,רמת פעילות א׳ ומעלה,גדול שווה,בשירות חובה,מוגדר לפי רמת הפעילות ביחידה – אוטומטי או לפי אישור חריג.,ההטבה נצברת עד חודשיים בלבד.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER"", ""activityLevel"": ""ALEF""}}, {""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER"", ""activityLevel"": ""BET""}}]"
הטבות כלכליות,דמי כלכלה לחיילים בודדים,חייל בודד זכאי לדמי כלכלה במהלך חופשת מחלה או חופשה מטעמים כלכליים.,,"צה""ל",,כל מי שהוגדר חייל בודד,בשירות חובה,,,פנייה לרכזת תנאי השירות ביחידה.,ניתן דמי כלכלה מוגדלים או מלאים לפי צורך. מותאם גם למי שאין מטבח בבסיס.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
הטבות כלכליות,תווי חג לחיילים בודדים,"תווי קנייה בסך כ־250 ₪ לחג (ראש השנה ופסח), ניתנים פעם בחצי שנה.",,"צה""ל",,כל מי שהוגדר חייל בודד,,,,"נמסרים ע""י סגלי הת""ש ביחידה בסמוך לחג.",ניתנים למימוש בכ־50 רשתות שיווק.,"[{""service"": {""soldierType"": ""LONE_SOLDIER""}}]"
הטבות כלכליות,"מימון שיחות טלפון לחו""ל","60 דקות חיוג בינלאומי לחיילים שעלו לארץ והוריהם מתגוררים בחו""ל.",,"צה""ל והאגודה למען החייל",,חייל בודד מובהק,עלה לארץ לאחר גיל 16,גדול שווה,בשירות חובה,פנייה לרכזת תנאי השירות לקבלת כרטיס חיוג.,ההטבה ניתנת אחת לחודש – לא ניתן לצבור דקות.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""DISTINGUISHED_LONE_SOLDIER""}, ""aliyah"": {""monthsSinceAliyah"": {""gte"": 0}}, ""general"": {""age"": {""gte"": 16}}}]"
הטבות כלכליות,"מימון טיסה לחו""ל לביקור הורים","מימון מלא לטיסה אחת להורים בחו""ל במהלך השירות.",,FIDF + האגודה למען החייל,,חייל בודד מובהק,חייל לוחם: אחרי 8 חודשי שירות###אחרים: אחרי חצי שירות,שווה,בשירות חובה,"פנייה לרכזת ת""ש. נדרש אישור חופשה ואישור יציאה מהיחידה.","המימון כולל כרטיס, מסי נמל וביטוח. החייל מממן דרכון.","[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""DISTINGUISHED_LONE_SOLDIER"", ""isCombat"": true, ""monthsInService"": {""gte"": 8}}}, {""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""DISTINGUISHED_LONE_SOLDIER"", ""monthsInService"": {""gte"": 6}}}]"
הטבות כלכליות,קבלת אישור עבודה פרטית,חיילים בודדים יכולים לקבל היתר לעבודה פרטית עקב מצוקה כלכלית.,,"צה""ל",,כל מי שהוגדר חייל בודד,בשירות חובה וגם נתון במצוקה כלכלית,שווה,בשירות חובה,"פנייה לסגל ת""ש ומילוי טופס מעסיק ואישורים כלכליים.","העבודה מותרת רק באישור כתוב, מחוץ לבסיס וללא מדים.","[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}, ""financialStatus"": ""LOW""}]"
חופשות,חופשה מיוחדת לחיילים בודדים,"חופשה לטיפול בבעיה אישית חריגה, כמו קושי כלכלי.",רגיל,"צה""ל",,כל מי שהוגדר חייל בודד,בשירות חובה,רגיל,,"פנייה לרכזת תנאי שירות ביחידה (משקית ת""ש)",תיתכן זכאות לדמי כלכלה. עד 60 ימי חופשה בשנה.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
חופשות,יום חופשה לסידורים אישיים,יום חופשה פעם בחודשיים עבור סידורים אישיים.,,"צה""ל",,כל מי שהוגדר חייל בודד,בשירות חובה,רגיל,,פנייה לרכזת תנאי שירות או מפקד ישיר.,ניתן לבקש יום נוסף במקרה מוצדק.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
חופשות,חופשה לרגל ביקור הורים בארץ,חופשה מיוחדת כאשר לפחות אחד מההורים מגיע לביקור.,,"צה""ל",,חייל בודד מובהק,בשירות חובה,רגיל,,פנייה לרכזת תנאי שירות ביחידה.,4 ימי חופשה לכל חצי שנה (8 בשנה קלנדרית).,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""DISTINGUISHED_LONE_SOLDIER""}}]"
חופשות,"חופשה בחו""ל לרגל ביקור הורים","30 ימי חופשה חד פעמיים לביקור אצל הורים בחו""ל.",,"צה""ל",,חייל בודד מובהק,בשירות חובה,גבוהה,,פנייה לרכזת תנאי השירות ואישור מיחידה.,ניתן לשלב עם חופשת רגילה. מימון טיסה אפשרי.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""DISTINGUISHED_LONE_SOLDIER""}}]"
חופשות,הנחה בדרכון ובאגרות,50% הנחה בהוצאת דרכונים ותעודות למסמכים רשמיים.,,רשות האוכלוסין וההגירה,,כל מי שהוגדר חייל בודד,בשירות חובה,שווה,גבוהה,מימוש אוטומטי מול משרד הפנים – אין צורך בתעודת חוגר.,אין הנחה על מסמכים אבודים או שהושחתו.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
חופשות,יציאה מוקדמת לחיילים בודדים,אפשרות לצאת מוקדם מהיחידה בערב שבת או חג כדי להספיק להגיע הביתה.,,"צה""ל",,כל מי שהוגדר חייל בודד,משרת ביחידה סגורה,שווה,רגיל,פנייה לרכזת תנאי השירות.,"מותאם למי שגר מעל 50 ק""מ מהבסיס.","[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
חופשות,לינה בבית החייל בחופשה,חיילים בודדים זכאים ללינה בבית החייל גם במהלך חופשות.,,האגודה למען החייל,,כל מי שהוגדר חייל בודד,בשירות חובה,,,"הגשת בקשה דרך האזור האישי באתר, פנייה למחוז, קבלת אישור. עד 3 חודשים לאחר השחרור.",תיתכן בקשה לחודש נוסף (שני/שלישי).,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
הטבות נוספות,סיוע מטעם עמותת למרחב,"ליווי אישי לצעירים חסרי עורף משפחתי בגיל 17–25, לפני, במהלך ואחרי השירות.",,עמותת למרחב ומכון תמיר,,חייל בודד חסר עורף משפחתי,גילאים 17-25,טווח,בודד חסר עורף משפתחי וגם בין גיל 17 ל-25,פנייה ישירה לעמותת למרחב – טלפונית או במייל.,"הסיוע ניתן ב־3 מוקדים בארץ – הוד השרון, באר שבע, עפולה.","[{""general"": {""age"": {""gte"": 17, ""lte"": 25}}, ""service"": {""soldierType"": ""DISTINGUISHED_LONE_SOLDIER""}}]"
הטבות נוספות,קבוצת תמיכה לצעירים חרדים,מפגשי תמיכה רגשתית בגישת CBT לצעירים חרדים בנתק משפחתי.,,מכון טמיר,,חייל בודד חסר עורף משפחתי,,,רגיש,השתתפות מותנית בהמלצה מקצועית ומילוי קריטריונים.,12 מפגשים דו-שבועיים. נפתחות קבוצות לפי ביקוש.,"[{""service"": {""soldierType"": ""DISTINGUISHED_LONE_SOLDIER""}}]"
הטבות נוספות,סבסוד מכשירי שמיעה,"עד 1,500 ₪ השתתפות עצמית להתאמת מכשיר שמיעה בירושלים.",,עמותת משכן הראייה אופטיקל סנטר,,כל מי שהוגדר חייל בודד,,,,תיאום תור + הצגת אישורים רפואיים וביטחוניים.,מותנה בהצגת הפנייה ובדיקת שמיעה.,"[{""service"": {""soldierType"": ""LONE_SOLDIER""}}]"
הטבות נוספות,משקפי ראייה בתשלום סמלי,משקפיים בתשלום מסובסד בירושלים והסביבה.,,עמותת משכן הראייה אופטיקל סנטר,,כל מי שהוגדר חייל בודד,בשירות חובה,,,פנייה דרך אתר או טלפון. הגעה עם מרשם.,השתתפות מותנית בזמינות ובתיאום מראש.,"[{""service"": {""serviceType"": ""MANDATORY"", ""soldierType"": ""LONE_SOLDIER""}}]"
הטבות נוספות,משקפיים מוזלים של רי-ספקס,"מסגרות משומשות או עודפים במחיר סמלי, כולל מותגים.",,עמותת רי-ספקס,,כל מי שהוגדר חייל בודד,,,,הגעה עם אישור חייל בודד לסניפים ברחבי הארץ.,מגוון מסגרות ובדיקת עיניים מוזלת.,"[{""service"": {""soldierType"": ""LONE_SOLDIER""}}]"
סיוע לאחר השחרור,מרכז הכוונה מהבית של בנג’י,מרכז ליווי וסיוע לחיילים בודדים משוחררים ביציאה לחיים האזרחיים.,,הבית של בנג’י,,חיילים בודדים לקראת שחרור,,,,פנייה ישירה לבית של בנג’י לקבלת שירות.,"כולל סיוע במגורים, תעסוקה, ליווי כלכלי.","[{""discharge"": {""monthsSinceDischarge"": {""gte"": 0}}, ""service"": {""soldierType"": ""LONE_SOLDIER""}}]"
סיוע לאחר השחרור,לינה בבית החייל לאחר שחרור,אפשרות למגורים בבית החייל עד 3 חודשים מהשחרור.,כל זכות,האגודה למען החייל,,מי שהוכר כחייל בודד,,,,פנייה דרך אתר האזור האישי ומילוי טופס למחוז הרלוונטי.,הלינה מתקזזת מתקופת סיוע בשכר דירה.,"[{""discharge"": {""monthsSinceDischarge"": {""lte"": 3}}, ""service"": {""soldierType"": ""LONE_SOLDIER""}}]"
סיוע לאחר השחרור,זכויות כלליות לאחר השחרור,"הכוונה תעסוקתית, אקדמאית, מענקים, ייעוץ פיננסי.",,האגף והקרן לחיילים משוחררים,,חיילים בודדים לאחר שחרור,,שווה,,פנייה דרך אתר הקרן או ישירות לגוף.,לא תקף לבני שליחים.,"[{""discharge"": {""monthsSinceDischarge"": {""gte"": 0}}, ""service"": {""soldierType"": ""LONE_SOLDIER""}}]"
